name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Planctomycetaceae	126	family	5733343	1	0	0.0
Myroides odoratus	256	species	8410197	3	0	0.0
Moraxellaceae	468	family	4098547	1	0	0.0
Acinetobacter	469	genus	4302050	2	0	0.0
Acinetobacter baumannii	470	species	4470189	14412	14322	0.0
Citrobacter freundii	546	species	5164552	1	0	0.0
Escherichia coli	562	species	12406079	4	1	1
Atlantibacter hermannii	565	species	13353785	8	8	0.0
Proteus	583	genus	16418674	1	0	0.0
Proteus mirabilis	584	species	3973324	3	0	0.0
Proteus vulgaris	585	species	33427603	2	2	0.0
Providencia rettgeri	587	species	104178325	1	0	0.0
Aeromonas jandaei	650	species	18192404	1	1	0.0
Pectinatus frisingensis	865	species	2881049	1	0	0.0
Selenomonas	970	genus	3100147	1	0	0.0
Cyanobacteria	1117	phylum	4890598	5	4	0.0
Chroococcales	1118	order	4979926	22	0	0.0
Microcystis	1125	genus	5158038	13	0	0.0
Synechococcus	1129	genus	2744871	3	0	0.0
Synechocystis	1142	genus	3570073	12	0	0.0
Synechocystis sp. PCC 6714	1147	species	3738889	1	0	0.0
Synechocystis sp. PCC 6803	1148	species	3570073	25	0	0.0
Oscillatoriales	1150	order	7831139	22	0	0.0
Oscillatoria	1158	genus	8038262	7	0	0.0
Nostocales	1161	order	6778883	60	0	0.0
Nostocaceae	1162	family	7733756	112	0	0.0
Anabaena	1163	genus	7063285	1	0	0.0
Nostoc	1177	genus	9280782	4	0	0.0
Rivulariaceae	1185	family	0	41	0	0.0
Calothrix	1186	genus	0	123	0	0.0
Prochlorococcus	1218	genus	1799150	11	0	0.0
Gammaproteobacteria	1236	class	9626348	1	0	0.0
Staphylococcus aureus	1280	species	3402804	2	2	0.0
Enterococcus faecium	1352	species	2880142	88	15	0.0
Lactococcus cremoris	1359	species	2519936	1	0	0.0
Bacillus anthracis	1392	species	5860829	3	3	0.0
Clostridium	1485	genus	4671230	2	0	0.0
Clostridium botulinum	1491	species	4218882	117	99	0.0
Clostridioides difficile	1496	species	4736882	1	1	0.0
Clostridium tetani	1513	species	2869591	27514	27423	0.0
Levilactobacillus brevis	1580	species	2464052	1	0	0.0
Lactiplantibacillus plantarum	1590	species	5352135	3440	3436	0.0
Latilactobacillus sakei	1599	species	1952609	5	5	0.0
Cutibacterium acnes	1747	species	2709544	1	1	0.0
Actinomycetia	1760	class	5782235	1	0	0.0
Actinomycetaceae	2049	family	2346641	6	0	0.0
Spiroplasma	2132	genus	1300182	12	0	0.0
Spiroplasma gladiatoris	2143	species	1164642	8	1	0.0
Ascomycota	4890	phylum	23592549	1	0	0.0
Saccharomycetales	4892	order	11715326	6	0	0.0
Saccharomycetaceae	4893	family	10747628	2	0	0.0
Pichia kudriavzevii	4909	species	10812555	1	0	0.0
Brettanomyces bruxellensis	5007	species	13150648	9	7	0.0
Eurotiales	5042	order	0	4	0	0.0
Aspergillus	5052	genus	0	1	0	0.0
Talaromyces	5094	genus	0	1	0	0.0
Brettanomyces nanus	13502	species	10186858	2	1	0.0
Sphingomonas paucimobilis	13689	species	20917910	6	0	0.0
Gloeothece	28070	genus	7198058	573	0	0.0
Alphaproteobacteria	28211	class	4172694	1	0	0.0
Burkholderia pseudomallei	28450	species	7728704	1	1	0.0
Mycoplasma bovis	28903	species	972935	2	0	0.0
Sclerotiniaceae	28983	family	42630066	4	0	0.0
Synechococcus sp. PCC 7002	32049	species	3409935	16	0	0.0
Anoxybacillus flavithermus	33934	species	2846746	3	3	0.0
Lactobacillus johnsonii	33959	species	1907846	2	2	0.0
Rhodovulum	34008	genus	4347929	1	0	0.0
Chaetomiaceae	35718	family	37828236	6	0	0.0
Rickettsia japonica	35790	species	1283087	98	97	0.0
Mycoplasma mycoides subsp. capri	40477	subspecies	23810155	3	3	0.0
Botrytis cinerea	40559	species	42630066	1	0	0.0
Rippkaea orientalis PCC 8801	41431	strain	4787694	237	0	0.0
Zygotorulaspora mrakii	42260	species	10450160	1	0	0.0
Anabaena sp. 90	46234	species	5305675	11	1	0.0
Leptolyngbya	47251	genus	6946868	2	0	0.0
Chroococcidiopsis thermalis	54299	species	6689401	4	0	0.0
Oscillatoria acuminata PCC 6304	56110	strain	7804270	41	15	0.0
Gloeothece citriformis PCC 7424	65393	strain	6554169	50	12	0.0
Campylobacteraceae	72294	family	2571126	1	0	0.0
Maricaulis maris	74318	species	3368780	1	0	0.0
Vibrio rumoiensis	76258	species	4207152	1	0	0.0
Malassezia restricta	76775	species	7369627	1	0	0.0
Pseudanabaena sp. PCC 7367	82654	species	4885680	457	435	0.0
Leclercia adecarboxylata	83655	species	55738178	1	1	0.0
Gloeocapsa	102231	genus	0	23	0	0.0
Rathayibacter festucae	110937	species	4359758	1	0	0.0
