name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Myroides odoratus	256	species	8410197	3	0	0.0
Burkholderia cepacia	292	species	13565292	1	1	0.0
Pseudomonas putida	303	species	6160317	1	1	0.0
Moraxellaceae	468	family	4098547	1	0	0.0
Acinetobacter	469	genus	4302050	2	0	0.0
Acinetobacter baumannii	470	species	4470189	12994	12915	0.0
Citrobacter freundii	546	species	5164552	1	0	0.0
Enterobacter cloacae	550	species	5283522	2	2	0.0
Escherichia coli	562	species	12406079	15	7	1
Atlantibacter hermannii	565	species	13353785	10	10	0.0
Klebsiella pneumoniae	573	species	15313680	1	1	0.0
Proteus mirabilis	584	species	3973324	1	1	0.0
Proteus vulgaris	585	species	33427603	3	3	0.0
Bartonella	773	genus	1830994	1	0	0.0
Pectinatus frisingensis	865	species	2881049	1	0	0.0
Selenomonas	970	genus	3100147	1	0	0.0
Cyanobacteria	1117	phylum	4890598	6	4	0.0
Chroococcales	1118	order	4979926	41	0	0.0
Microcystis	1125	genus	5158038	6	0	0.0
Microcystis aeruginosa	1126	species	5038678	1	0	0.0
Synechococcus	1129	genus	2744871	2	0	0.0
Synechocystis	1142	genus	3570073	8	0	0.0
Synechocystis sp. PCC 6803	1148	species	3570073	36	0	0.0
Oscillatoriales	1150	order	7831139	39	0	0.0
Oscillatoria	1158	genus	8038262	6	0	0.0
Nostocales	1161	order	6778883	48	0	0.0
Nostocaceae	1162	family	7733756	113	0	0.0
Trichormus azollae	1164	species	5486145	1	0	0.0
Nostoc	1177	genus	9280782	5	0	0.0
Rivulariaceae	1185	family	0	46	0	0.0
Calothrix	1186	genus	0	126	0	0.0
Prochlorococcus	1218	genus	1799150	9	0	0.0
Gammaproteobacteria	1236	class	9626348	2	0	0.0
Micrococcus luteus	1270	species	4996790	1	1	0.0
Staphylococcus aureus	1280	species	3402804	4	4	0.0
Enterococcus faecalis	1351	species	3027316	2	0	0.0
Enterococcus faecium	1352	species	2880142	64	14	0.0
Bacillus anthracis	1392	species	5860829	4	4	0.0
Clostridium	1485	genus	4671230	2	0	0.0
Clostridium botulinum	1491	species	4218882	110	90	0.0
Clostridium tetani	1513	species	2869591	24429	24342	0.0
Erysipelatoclostridium ramosum	1547	species	3247604	1	0	0.0
Lactiplantibacillus plantarum	1590	species	5352135	3148	3144	0.0
Latilactobacillus sakei	1599	species	1952609	5	5	0.0
Loigolactobacillus coryniformis	1610	species	3045091	2	0	0.0
Actinomyces	1654	genus	3097489	1	0	0.0
Actinomycetia	1760	class	5782235	2	0	0.0
Actinomycetaceae	2049	family	2346641	3	0	0.0
Spiroplasma	2132	genus	1300182	4	0	0.0
Spiroplasma gladiatoris	2143	species	1164642	8	3	0.0
Ascomycota	4890	phylum	23592549	2	0	0.0
Saccharomycetales	4892	order	11715326	3	0	0.0
Saccharomycetaceae	4893	family	10747628	3	0	0.0
Pichia kudriavzevii	4909	species	10812555	2	0	0.0
Pichia	4919	genus	0	1	0	0.0
Brettanomyces bruxellensis	5007	species	13150648	16	14	0.0
Eurotiales	5042	order	0	2	0	0.0
Aspergillus	5052	genus	0	1	0	0.0
Brettanomyces nanus	13502	species	10186858	2	0	0.0
Sphingomonas paucimobilis	13689	species	20917910	8	0	0.0
Gloeothece	28070	genus	7198058	559	0	0.0
Nostoc sp. PCC 7524	28072	species	6718869	1	0	0.0
Alphaproteobacteria	28211	class	4172694	2	0	0.0
Mycoplasma bovis	28903	species	972935	6	0	0.0
Sclerotiniaceae	28983	family	42630066	3	0	0.0
Mollicutes	31969	class	1391452	1	0	0.0
Burkholderia	32008	genus	8385645	1	0	0.0
Synechococcus sp. PCC 7002	32049	species	3409935	8	0	0.0
Anoxybacillus flavithermus	33934	species	2846746	1	1	0.0
Lactobacillus johnsonii	33959	species	1907846	4	4	0.0
Candidatus Liberibacter africanus	34020	species	1192232	1	0	0.0
Chaetomiaceae	35718	family	37828236	2	0	0.0
Candidatus Phytoplasma luffae	35773	species	769143	1	1	0.0
Rickettsia japonica	35790	species	1283087	86	85	0.0
Acinetobacter junii	40215	species	16950733	1	1	0.0
Mycoplasma mycoides subsp. capri	40477	subspecies	23810155	2	2	0.0
Sphingomonadaceae	41297	family	4815302	1	0	0.0
Rippkaea orientalis PCC 8801	41431	strain	4787694	209	0	0.0
Zygotorulaspora mrakii	42260	species	10450160	2	0	0.0
Anabaena sp. 90	46234	species	5305675	12	1	0.0
Chroococcidiopsis thermalis	54299	species	6689401	5	0	0.0
Oscillatoria acuminata PCC 6304	56110	strain	7804270	36	18	0.0
Enterobacter asburiae	61645	species	4561905	1	1	0.0
Gloeothece citriformis PCC 7424	65393	strain	6554169	39	7	0.0
Pseudanabaena sp. PCC 7367	82654	species	4885680	377	351	0.0
Liquorilactobacillus nagelii	82688	species	2547117	2	0	0.0
Leclercia adecarboxylata	83655	species	55738178	5	3	0.0
Gloeocapsa	102231	genus	0	19	0	0.0
Leptolyngbya sp. PCC 7376	111781	species	5125950	39	0	0.0
Tolypothrix	111782	genus	0	113	0	0.0
Oscillatoria acuminata	118323	species	7804270	15	0	0.0
Talaromyces rugulosus	121627	species	35758560	1	1	0.0
