name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	2	2	0.0
Phenylobacterium	20	genus	4379231	2	0	0.0
Shewanella	22	genus	5140018	1	0	0.0
Chondromyces crocatus	52	species	11388132	1	0	0.0
Sorangium cellulosum	56	species	13907952	2	0	0.0
Lysobacter enzymogenes	69	species	18174557	3	1	0.0
Stella humosa	94	species	5832650	3	3	0.0
Gemmata obscuriglobus	114	species	17998094	1	0	0.0
Treponema	157	genus	2647108	1	0	0.0
Azospirillum brasilense	192	species	50779208	3	3	0.0
Helicobacter acinonychis	212	species	1557588	2	0	0.0
Alteromonas	226	genus	4612381	2	0	0.0
Brucella	234	genus	4165258	1	1	0.0
Brucella abortus	235	species	3283507	1	0	0.0
Flavobacterium	237	genus	3461015	1	0	0.0
Chryseobacterium balustinum	246	species	4974086	1	1	0.0
Chryseobacterium gleum	250	species	5606922	1	0	0.0
Chryseobacterium indologenes	253	species	45177288	1	0	0.0
Chryseobacterium indoltheticum	254	species	12892241	23	16	0.0
Myroides odoratus	256	species	8410197	29	7	0.0
Pseudomonas	286	genus	9072459	8	8	0.0
Pseudomonas aeruginosa	287	species	7081528	2	0	0.0
Burkholderia cepacia	292	species	13565292	1	0	0.0
Brevundimonas diminuta	293	species	7100901	3	2	0.0
Pseudomonas fluorescens	294	species	6604895	4	1	0.0
Pseudomonas fragi	296	species	20271610	3	0	0.0
Pseudomonas putida	303	species	6160317	6	0	0.0
Ralstonia solanacearum	305	species	5757294	7	0	0.0
Pseudomonas stutzeri	316	species	4548207	4	1	0.0
Pseudomonas syringae	317	species	8596101	4	2	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	1	0	0.0
Burkholderia glumae	337	species	6878727	3	0	0.0
Xanthomonas campestris	339	species	6740960	3	2	0.0
Xanthomonas oryzae	347	species	72075896	1	1	0.0
Hyphomicrobiales	356	order	5871446	1	0	0.0
Agrobacterium tumefaciens	358	species	7273300	11	1	0.0
Agrobacterium rhizogenes	359	species	18705990	1	0	0.0
Bradyrhizobium	374	genus	11333359	3	2	0.0
Bradyrhizobium japonicum	375	species	9207384	6	2	0.0
Bradyrhizobium sp.	376	species	7547693	10	8	0.0
Mesorhizobium loti	381	species	7344452	2	0	0.0
Sinorhizobium meliloti	382	species	7082772	1	1	0.0
Rhizobium leguminosarum	384	species	13972498	5	1	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	52584484	2	0	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	2	0	0.0
Rhizobium phaseoli	396	species	6665454	4	2	0.0
Methylobacterium	407	genus	7144985	1	0	0.0
Methylorubrum extorquens	408	species	8218505	8	1	0.0
Moraxellaceae	468	family	4098547	104	0	0.0
Acinetobacter	469	genus	4302050	6	0	0.0
Acinetobacter baumannii	470	species	4470189	100738	93683	0.0
Acinetobacter calcoaceticus	471	species	11965339	1	1	0.0
Neisseria meningitidis	487	species	2222288	1	0	0.0
Alcaligenes faecalis	511	species	45173212	1	1	0.0
Brucella anthropi	529	species	5205777	1	0	0.0
Enterobacteriaceae	543	family	12257242	6	0	0.0
Citrobacter koseri	545	species	4735357	2	0	0.0
Citrobacter freundii	546	species	5164552	1	0	0.0
Pantoea agglomerans	549	species	35210418	202	90	0.0
Enterobacter cloacae	550	species	5283522	1	0	0.0
Escherichia coli	562	species	12406079	1	1	0.0
Klebsiella pneumoniae	573	species	15313680	3	0	0.0
Morganella morganii	582	species	25824371	2	0	0.0
Proteus	583	genus	16418674	2	0	0.0
Proteus mirabilis	584	species	3973324	81	23	0.0
Proteus vulgaris	585	species	33427603	3	3	0.0
Providencia rettgeri	587	species	104178325	11	0	0.0
Serratia liquefaciens	614	species	5282719	2	0	0.0
Yersinia intermedia	631	species	24435507	2	0	0.0
Avibacterium paragallinarum	728	species	24390265	1	0	0.0
Anaplasma centrale	769	species	1206806	1	0	0.0
Bartonella	773	genus	1830994	4	0	0.0
Rickettsia	780	genus	1244761	1	0	0.0
Orientia tsutsugamushi	784	species	2200350	1	1	0.0
Pectinatus frisingensis	865	species	2881049	1	0	0.0
Ehrlichia	943	genus	1369786	1	0	0.0
Wolbachia	953	genus	1224467	1	0	0.0
Wolbachia pipientis	955	species	1484007	15	1	0.0
Bdellovibrio bacteriovorus	959	species	3592845	1	0	0.0
Selenomonas	970	genus	3100147	1	0	0.0
Weeksella	1013	genus	2272954	1	0	0.0
Rhodobacter capsulatus	1061	species	3871920	1	1	0.0
Cereibacter sphaeroides	1063	species	4610091	7	3	0.0
Rhodopseudomonas palustris	1076	species	5494465	10	2	0.0
Erythrobacter neustonensis	1112	species	3090363	2	1	0.0
Cyanobacteria	1117	phylum	4890598	75	57	0.0
Chroococcales	1118	order	4979926	357	0	0.0
Microcystis	1125	genus	5158038	36	0	0.0
Microcystis aeruginosa	1126	species	5038678	18	0	0.0
Synechococcus	1129	genus	2744871	107	0	0.0
Synechococcus elongatus PCC 7942 = FACHB-805	1140	strain	2742269	2	0	0.0
Synechocystis	1142	genus	3570073	310	0	0.0
Synechocystis sp. PCC 6714	1147	species	3738889	22	5	0.0
Synechocystis sp. PCC 6803	1148	species	3570073	529	0	0.0
Oscillatoriales	1150	order	7831139	385	0	0.0
Pseudanabaena	1152	genus	0	1	0	0.0
Oscillatoria	1158	genus	8038262	174	0	0.0
Nostocales	1161	order	6778883	686	0	0.0
Nostocaceae	1162	family	7733756	2088	0	0.0
Anabaena	1163	genus	7063285	34	0	0.0
Trichormus azollae	1164	species	5486145	12	0	0.0
Nostoc	1177	genus	9280782	78	0	0.0
Leptolyngbya boryana	1184	species	6946868	4	0	0.0
Rivulariaceae	1185	family	0	504	0	0.0
Calothrix	1186	genus	0	2582	0	0.0
Fischerella	1190	genus	0	1	0	0.0
Trichodesmium	1205	genus	7750108	2	0	0.0
Trichodesmium erythraeum	1206	species	7750108	1	0	0.0
Prochloraceae	1213	family	1799150	1	0	0.0
Prochlorococcus	1218	genus	1799150	86	0	0.0
