['DEINVI_00007', 132903021]
['DEINVI_00027', 115895062]
['DEINVI_00010', 115527557]
['DEINVI_00025', 105574755]
['DEINVI_00017', 98249677]
['DEINVI_00023', 97282347]
['DEINVI_00003', 84932284]
['DEINVI_00012', 82088139]
['DEINVI_00009', 74894508]
['DEINVI_00008', 72769282]
['DEINVI_00006', 70516456]
['DEINVI_00024', 59367875]
['DEINVI_00019', 44437712]
['DEINVI_00014', 30244202]
['DEINVI_00018', 28028625]
['DEINVI_00013', 27723207]
['DEINVI_00020', 25807775]
['DEINVI_00015', 22425756]
['DEINVI_00002', 13763513]
['DEINVI_00016', 12762945]
['DEINVI_00011', 12510734]
['DEINVI_00021', 6756335]
['DEINVI_00001', 3185190]
['DEINVI_00028', 1565500]
['DEINVI_00026', 985154]
['DEINVI_00177', 862911]
['DEINVI_00038', 656093]
['DEINVI_00040', 623000]
['DEINVI_00081', 594000]
['DEINVI_00044', 590500]
['DEINVI_00060', 507000]
['DEINVI_00127', 504940]
['DEINVI_00191', 438000]
['DEINVI_00161', 437500]
['DEINVI_00130', 431000]
['DEINVI_00225', 427156]
['DEINVI_00089', 411971]
['DEINVI_00051', 398488]
['DEINVI_00117', 395500]
['DEINVI_00080', 389500]
['DEINVI_00115', 374401]
['DEINVI_00151', 359500]
['DEINVI_00129', 359478]
['DEINVI_00030', 352000]
['DEINVI_00057', 338500]
['DEINVI_00195', 330500]
['DEINVI_00005', 325384]
['DEINVI_00096', 322534]
['DEINVI_00124', 322453]
['DEINVI_00004', 317887]
['DEINVI_00203', 314500]
['DEINVI_00045', 312000]
['DEINVI_00139', 305743]
['DEINVI_00075', 298500]
['DEINVI_00055', 298263]
['DEINVI_00058', 296210]
['DEINVI_00078', 294500]
['DEINVI_00128', 288500]
['DEINVI_00156', 285500]
['DEINVI_00229', 273958]
['DEINVI_00226', 273494]
['DEINVI_00227', 271401]
['DEINVI_00230', 266214]
['DEINVI_00093', 261088]
['DEINVI_00046', 252908]
['DEINVI_00228', 252274]
['DEINVI_00160', 247500]
['DEINVI_00125', 241000]
['DEINVI_00232', 239200]
['DEINVI_00042', 233000]
['DEINVI_00123', 232773]
['DEINVI_00184', 232500]
['DEINVI_00099', 229500]
['DEINVI_00029', 224943]
['DEINVI_00141', 223000]
['DEINVI_00050', 220362]
['DEINVI_00083', 214417]
['DEINVI_00110', 214000]
['DEINVI_00158', 213500]
['DEINVI_00134', 205500]
['DEINVI_00233', 202718]
['DEINVI_00086', 202500]
['DEINVI_00144', 199406]
['DEINVI_00126', 198500]
['DEINVI_00197', 198052]
['DEINVI_00032', 196500]
['DEINVI_00214', 196500]
['DEINVI_00033', 190500]
['DEINVI_00165', 186500]
['DEINVI_00235', 185627]
['DEINVI_00132', 183750]
['DEINVI_00146', 183000]
