# BUSCO version is: 5.4.4 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at3193	Duplicated	g6017.t4	4812.8	3843	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	g6017.t7	4810.1	3835	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	IDmodified-transcript-239556	4800.1	3843	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	g6017.t5	4796.4	3835	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	IDmodified-transcript-239557	4794.5	3844	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	g6017.t6	4794.1	3835	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	IDmodified-transcript-88525	4790.9	3835	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	g6017.t8	4756.9	3841	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	g3617.t3	4718.5	3687	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	IDmodified-transcript-88526	4716.3	3843	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	g3617.t2	4681.2	3805	https://www.orthodb.org/v10?query=2at3193	Midasin
2at3193	Duplicated	IDmodified-transcript-88530	4606.1	3814	https://www.orthodb.org/v10?query=2at3193	Midasin
5at3193	Duplicated	IDmodified-transcript-125061	5993.8	3891	https://www.orthodb.org/v10?query=5at3193	sacsin
5at3193	Duplicated	IDmodified-transcript-24407	5954.0	3891	https://www.orthodb.org/v10?query=5at3193	sacsin
23at3193	Fragmented	IDmodified-transcript-15864	5030.7	2857	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG
79at3193	Duplicated	IDmodified-transcript-103485	4112.5	2723	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
79at3193	Duplicated	IDmodified-transcript-84129	4112.5	2723	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
79at3193	Duplicated	IDmodified-transcript-2519	4112.5	2723	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
79at3193	Duplicated	IDmodified-transcript-61735	4112.2	2723	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Duplicated	IDmodified-transcript-144777	3724.8	2207	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	IDmodified-transcript-144778	3575.7	2133	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	IDmodified-transcript-21180	3575.7	2133	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	IDmodified-transcript-374655	3575.7	2133	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	IDmodified-transcript-84351	3575.7	2133	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	g7450.t5	3572.7	2089	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	g7450.t7	3572.7	2089	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	IDmodified-transcript-84350	3557.7	2080	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
241at3193	Duplicated	g4559.t2	3544.6	2113	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
255at3193	Duplicated	IDmodified-transcript-266400	4011.7	2076	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
255at3193	Duplicated	IDmodified-transcript-208329	4007.5	2075	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
255at3193	Duplicated	DEINVI_00023.228097.5.p1	4007.5	2075	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
