['contig-0092817', 5843295]
['contig-0083559', 5415370]
['contig-0042319', 5001629]
['contig-0042489', 4944749]
['contig-0054668', 4922171]
['contig-0120253', 4590217]
['contig-0046946', 4518345]
['contig-0025035', 4462758]
['contig-0034641', 4458813]
['contig-0049685', 4257117]
['contig-0057089', 4214255]
['contig-0036660', 4005966]
['contig-0012224', 3951746]
['contig-0122803', 3839393]
['contig-0117876', 3819414]
['contig-0068237', 3743219]
['contig-0053875', 3730128]
['contig-0124399', 3720087]
['contig-0052678', 3645465]
['contig-0067038', 3642341]
['contig-0037339', 3641456]
['contig-0100550', 3615286]
['contig-0088964', 3541443]
['contig-0081925', 3532888]
['contig-0000080', 3512920]
['contig-0106129', 3512494]
['contig-0011886', 3508195]
['contig-0128056', 3487896]
['contig-0050566', 3458945]
['contig-0063937', 3432249]
['contig-0056936', 3430756]
['contig-0117410', 3398304]
['contig-0055234', 3368535]
['contig-0047839', 3321786]
['contig-0007477', 3257231]
['contig-0007985', 3190959]
['contig-0073307', 3178498]
['contig-0052228', 3164188]
['contig-0113015', 3157515]
['contig-0036473', 3145217]
['contig-0001301', 3115876]
['contig-0068526', 3080476]
['contig-0067651', 3072491]
['contig-0121080', 3054008]
['contig-0118925', 3018270]
['contig-0121481', 2999676]
['contig-0026927', 2972819]
['contig-0007404', 2971525]
['contig-0014885', 2963176]
['contig-0053041', 2956946]
['contig-0008421', 2909219]
['contig-0070578', 2891399]
['contig-0077178', 2878269]
['contig-0010891', 2845556]
['contig-0030610', 2828066]
['contig-0028455', 2810453]
['contig-0043969', 2787682]
['contig-0067907', 2764562]
['contig-0000682', 2712916]
['contig-0045826', 2641791]
['contig-0009913', 2638038]
['contig-0001302', 2632357]
['contig-0047855', 2592880]
['contig-0032525', 2571886]
['contig-0060490', 2564853]
['contig-0078453', 2557223]
['contig-0069385', 2549839]
['contig-0008606', 2540666]
['contig-0028843', 2539812]
['contig-0008155', 2523756]
['contig-0103946', 2516938]
['contig-0115115', 2511535]
['contig-0034074', 2505030]
['contig-0034053', 2497788]
['contig-0123268', 2476752]
['contig-0000924', 2476582]
['contig-0032679', 2456141]
['contig-0049045', 2435875]
['contig-0054070', 2417453]
['contig-0056375', 2392907]
['contig-0014959', 2386225]
['contig-0040851', 2377957]
['contig-0067180', 2374667]
['contig-0044153', 2373455]
['contig-0015501', 2371970]
['contig-0016319', 2346364]
['contig-0039165', 2342978]
['contig-0073666', 2330785]
['contig-0072757', 2311240]
['contig-0040358', 2295430]
['contig-0061454', 2292515]
['contig-0115034', 2273910]
['contig-0062061', 2268942]
['contig-0038599', 2255297]
['contig-0017652', 2243929]
['contig-0043106', 2212547]
['contig-0023425', 2208775]
['contig-0010913', 2200990]
['contig-0067813', 2185871]
['contig-0052374', 2180132]
['contig-0061790', 2164248]
['contig-0120191', 2156369]
['contig-0051350', 2155308]
['contig-0123303', 2147450]
['contig-0022875', 2135934]
['contig-0024556', 2130408]
['contig-0045042', 2113166]
['contig-0120770', 2097071]
['contig-0043623', 2089165]
['contig-0042050', 2079200]
['contig-0042714', 2077313]
['contig-0057767', 2072083]
['contig-0096553', 2070541]
['contig-0067171', 2069906]
['contig-0034697', 2069267]
['contig-0067426', 2069105]
['contig-0075252', 2067842]
['contig-0040904', 2066363]
['contig-0028887', 2057821]
['contig-0019897', 2056430]
['contig-0026570', 2048998]
['contig-0078313', 2045300]
['contig-0041591', 2038045]
['contig-0079194', 2024354]
['contig-0065216', 2011347]
['contig-0050439', 2010877]
['contig-0067814', 2005866]
['contig-0108108', 1980857]
['contig-0071228', 1964996]
['contig-0103466', 1954958]
['contig-0072739', 1933477]
['contig-0080014', 1912789]
['contig-0080013', 1897072]
['contig-0062116', 1889832]
['contig-0029687', 1887718]
['contig-0039846', 1871030]
['contig-0092641', 1857575]
['contig-0013363', 1849893]
['contig-0057171', 1846291]
['contig-0072835', 1835565]
['contig-0054950', 1834304]
['contig-0116171', 1825038]
['contig-0027109', 1816763]
['contig-0056382', 1804895]
['contig-0023475', 1783913]
['contig-0120295', 1775292]
['contig-0008616', 1772289]
['contig-0035461', 1767987]
['contig-0062230', 1741477]
['contig-0118433', 1738475]
['contig-0039835', 1705819]
['contig-0053318', 1699240]
['contig-0054256', 1697515]
['contig-0018567', 1682473]
['contig-0044888', 1679408]
['contig-0104405', 1673044]
['contig-0089045', 1670388]
['contig-0034887', 1664603]
['contig-0122268', 1655021]
['contig-0057031', 1653124]
['contig-0047714', 1650813]
['contig-0006477', 1650438]
['contig-0003712', 1643647]
['contig-0042330', 1634232]
['contig-0037658', 1632737]
['contig-0026845', 1631527]
['contig-0013119', 1628820]
['contig-0002282', 1627917]
['contig-0122535', 1627816]
['contig-0025031', 1615826]
['contig-0002716', 1615206]
['contig-0013319', 1614729]
['contig-0076687', 1612966]
['contig-0111762', 1609659]
['contig-0024425', 1607005]
['contig-0075502', 1603375]
['contig-0031888', 1602849]
['contig-0066211', 1595779]
['contig-0087617', 1579130]
['contig-0015607', 1578681]
['contig-0017311', 1572481]
['contig-0112403', 1565231]
['contig-0030695', 1563385]
['contig-0106125', 1557109]
['contig-0013109', 1553757]
['contig-0014881', 1552303]
['contig-0049853', 1549086]
['contig-0014212', 1540968]
['contig-0000048', 1539819]
['contig-0013273', 1537657]
['contig-0006712', 1534906]
['contig-0017879', 1534605]
['contig-0033038', 1530457]
['contig-0019958', 1526328]
['contig-0017317', 1511688]
['contig-0032136', 1505209]
['contig-0029933', 1503776]
['contig-0062379', 1503694]
['contig-0008480', 1498912]
['contig-0032272', 1498306]
['contig-0058660', 1493672]
['contig-0038366', 1490917]
['contig-0014996', 1489698]
['contig-0042392', 1485926]
['contig-0038596', 1483615]
['contig-0119432', 1481778]
['contig-0073665', 1481135]
['contig-0124069', 1473648]
['contig-0031438', 1472418]
['contig-0115137', 1471335]
['contig-0023432', 1470774]
['contig-0060786', 1469994]
['contig-0038543', 1461784]
['contig-0080588', 1461736]
['contig-0047217', 1458983]
['contig-0072086', 1449334]
['contig-0107061', 1448338]
['contig-0029353', 1446088]
['contig-0125085', 1445292]
['contig-0042372', 1440120]
['contig-0106090', 1436627]
['contig-0092839', 1434979]
['contig-0038235', 1433713]
['contig-0028477', 1432869]
['contig-0111587', 1430883]
['contig-0114782', 1428120]
['contig-0060484', 1427056]
['contig-0036181', 1426999]
['contig-0048506', 1423760]
['contig-0103589', 1417949]
['contig-0045603', 1416907]
['contig-0112046', 1416367]
['contig-0080343', 1413007]
['contig-0047836', 1410580]
['contig-0045357', 1404887]
['contig-0124028', 1401384]
['contig-0048708', 1399768]
['contig-0040369', 1397446]
['contig-0037509', 1396582]
['contig-0094058', 1393767]
['contig-0026856', 1390598]
['contig-0026867', 1385937]
['contig-0027138', 1383832]
['contig-0059256', 1383157]
['contig-0073128', 1379841]
['contig-0050273', 1376040]
['contig-0032325', 1374221]
['contig-0023797', 1372111]
['contig-0070981', 1369829]
['contig-0087910', 1363540]
['contig-0066205', 1358132]
['contig-0125993', 1351739]
['contig-0095511', 1348938]
['contig-0057159', 1348005]
['contig-0112535', 1346218]
['contig-0033650', 1332188]
['contig-0059259', 1331335]
['contig-0070581', 1327990]
['contig-0017312', 1326712]
['contig-0087302', 1325569]
['contig-0028479', 1321198]
['contig-0014863', 1318216]
['contig-0056848', 1317885]
['contig-0005770', 1313751]
['contig-0099224', 1310457]
['contig-0070095', 1309259]
['contig-0096900', 1307748]
['contig-0060413', 1307687]
['contig-0102784', 1304665]
['contig-0035140', 1293353]
['contig-0044210', 1290431]
['contig-0024061', 1289926]
['contig-0046414', 1284683]
['contig-0070104', 1282778]
['contig-0128075', 1282649]
['contig-0121732', 1279621]
['contig-0009191', 1275745]
['contig-0018605', 1274622]
['contig-0072729', 1270647]
['contig-0027072', 1269154]
['contig-0035080', 1264640]
['contig-0041399', 1261365]
['contig-0059258', 1259667]
['contig-0059778', 1259635]
['contig-0053321', 1256569]
['contig-0095508', 1256356]
['contig-0063071', 1255565]
['contig-0078063', 1254114]
['contig-0103597', 1247770]
['contig-0086410', 1246023]
['contig-0066191', 1245588]
['contig-0015400', 1244961]
['contig-0086263', 1244775]
['contig-0066577', 1242492]
['contig-0032423', 1236955]
['contig-0114160', 1235416]
['contig-0043095', 1233442]
['contig-0048944', 1233345]
['contig-0041965', 1232839]
['contig-0124130', 1227559]
['contig-0021289', 1227179]
['contig-0039325', 1225855]
['contig-0115364', 1225598]
['contig-0078452', 1217589]
['contig-0043583', 1217119]
['contig-0042960', 1207521]
['contig-0090556', 1203279]
['contig-0068336', 1201478]
['contig-0113012', 1200302]
['contig-0124407', 1200087]
['contig-0060167', 1189943]
['contig-0043094', 1188951]
['contig-0067013', 1188401]
['contig-0067040', 1188249]
['contig-0098567', 1187242]
['contig-0027075', 1179545]
['contig-0101153', 1179374]
['contig-0072535', 1178809]
['contig-0013895', 1178685]
['contig-0052909', 1173134]
['contig-0112172', 1172785]
['contig-0038600', 1169351]
['contig-0037710', 1159974]
['contig-0040517', 1159780]
['contig-0002966', 1158943]
['contig-0076265', 1158891]
['contig-0035681', 1158629]
['contig-0014616', 1154238]
['contig-0040467', 1149737]
['contig-0084318', 1147044]
['contig-0069342', 1146114]
['contig-0118527', 1144518]
['contig-0031502', 1144278]
['contig-0118232', 1141455]
['contig-0005150', 1140031]
['contig-0060527', 1137567]
['contig-0045030', 1136878]
['contig-0068683', 1136187]
['contig-0000073', 1135716]
['contig-0115885', 1129315]
['contig-0001544', 1128220]
['contig-0046003', 1126839]
['contig-0019522', 1126150]
['contig-0000037', 1122645]
['contig-0049965', 1120096]
['contig-0089664', 1120049]
['contig-0075546', 1118895]
['contig-0105258', 1117221]
['contig-0051296', 1115753]
['contig-0042703', 1113370]
['contig-0023802', 1113339]
['contig-0023228', 1112582]
['contig-0051191', 1110964]
['contig-0060687', 1109929]
['contig-0077253', 1106167]
['contig-0047838', 1104268]
['contig-0029776', 1100410]
['contig-0047372', 1099038]
['contig-0042746', 1098323]
['contig-0068086', 1097106]
['contig-0010466', 1096251]
['contig-0071986', 1086182]
['contig-0014639', 1085094]
['contig-0028527', 1083312]
['contig-0057925', 1081635]
['contig-0037513', 1079969]
['contig-0091583', 1079683]
['contig-0004431', 1076240]
['contig-0117241', 1074428]
['contig-0033614', 1073137]
['contig-0013338', 1071991]
['contig-0045865', 1070180]
['contig-0053927', 1068605]
['contig-0022290', 1068208]
['contig-0094057', 1067941]
['contig-0071965', 1066651]
['contig-0116861', 1062096]
['contig-0082903', 1061676]
['contig-0020391', 1059254]
['contig-0121684', 1059000]
['contig-0061685', 1057664]
['contig-0107202', 1056998]
['contig-0053471', 1056454]
['contig-0043636', 1056122]
['contig-0091246', 1055680]
['contig-0086550', 1050622]
['contig-0060791', 1047651]
['contig-0052986', 1045703]
['contig-0008601', 1043121]
['contig-0067183', 1042526]
['contig-0006316', 1040283]
['contig-0067429', 1040071]
['contig-0039099', 1039902]
['contig-0095833', 1039822]
['contig-0016118', 1035516]
['contig-0029454', 1034281]
['contig-0072274', 1033645]
['contig-0018618', 1033242]
['contig-0044158', 1032815]
['contig-0045391', 1032672]
['contig-0053866', 1031136]
['contig-0019854', 1028234]
['contig-0042953', 1027432]
['contig-0049273', 1024851]
['contig-0125308', 1022860]
['contig-0031855', 1022181]
['contig-0093958', 1021789]
['contig-0080685', 1021721]
['contig-0067164', 1021493]
['contig-0123360', 1018818]
['contig-0029661', 1018140]
['contig-0026189', 1015888]
['contig-0039245', 1015360]
['contig-0107103', 1014712]
['contig-0057426', 1012971]
['contig-0104403', 1012533]
['contig-0070997', 1010987]
['contig-0071822', 1010532]
['contig-0091683', 1009913]
['contig-0025085', 1009391]
['contig-0125650', 1009271]
['contig-0096229', 1008276]
['contig-0043266', 1007584]
['contig-0071003', 1006262]
['contig-0048644', 1005345]
['contig-0029090', 1003291]
['contig-0020593', 1001419]
['contig-0093475', 1001167]
['contig-0013745', 999537]
['contig-0117536', 998623]
['contig-0067830', 998542]
['contig-0124148', 998292]
['contig-0113700', 995943]
['contig-0057225', 993427]
['contig-0040055', 990924]
['contig-0089970', 990747]
['contig-0097820', 988904]
['contig-0035151', 987595]
['contig-0036222', 986058]
['contig-0015765', 985321]
['contig-0123380', 983666]
['contig-0049698', 983622]
['contig-0113672', 980838]
['contig-0041604', 980645]
['contig-0075244', 980484]
['contig-0093591', 980467]
['contig-0088903', 979943]
['contig-0030865', 978012]
['contig-0015368', 977649]
['contig-0044231', 976718]
['contig-0122304', 976680]
['contig-0007394', 974454]
['contig-0102432', 974407]
['contig-0077393', 973982]
['contig-0000069', 972814]
['contig-0027930', 968870]
['contig-0069487', 968564]
['contig-0017978', 966183]
['contig-0029808', 964539]
['contig-0098573', 964485]
['contig-0107052', 964159]
['contig-0013444', 963314]
['contig-0020322', 961456]
['contig-0045182', 958669]
['contig-0092384', 958554]
['contig-0024846', 957149]
['contig-0049897', 955011]
['contig-0055997', 954993]
['contig-0037947', 954480]
['contig-0040045', 954431]
['contig-0085719', 954206]
['contig-0094311', 952676]
['contig-0027006', 948783]
['contig-0027114', 947258]
['contig-0060131', 942500]
['contig-0099720', 942175]
['contig-0107488', 942141]
['contig-0109565', 941654]
['contig-0043340', 941633]
['contig-0046546', 937026]
['contig-0088639', 934479]
['contig-0020142', 933940]
['contig-0114666', 933725]
['contig-0026000', 932455]
['contig-0041214', 932449]
['contig-0067043', 930854]
['contig-0088983', 930636]
['contig-0051399', 930475]
['contig-0043225', 928581]
['contig-0086426', 926348]
['contig-0064781', 926263]
['contig-0004338', 924227]
['contig-0070998', 923795]
['contig-0115136', 923681]
['contig-0123258', 923547]
['contig-0052926', 923417]
['contig-0050235', 919583]
['contig-0030621', 918433]
['contig-0020065', 918219]
['contig-0027518', 918195]
['contig-0023327', 917330]
['contig-0069690', 917013]
['contig-0067418', 916596]
['contig-0063796', 913293]
['contig-0013956', 910553]
['contig-0019260', 909618]
['contig-0027346', 906601]
['contig-0007405', 906402]
['contig-0052805', 906214]
['contig-0093290', 904422]
['contig-0082618', 903448]
['contig-0073309', 901299]
['contig-0033584', 901163]
['contig-0013860', 900153]
['contig-0042499', 900020]
['contig-0115377', 899697]
['contig-0116344', 899303]
['contig-0005913', 898158]
['contig-0102982', 893570]
['contig-0053562', 892540]
['contig-0107663', 892490]
['contig-0013629', 892093]
['contig-0037651', 888635]
['contig-0068859', 888301]
['contig-0073593', 888081]
['contig-0012882', 885493]
['contig-0017333', 885179]
['contig-0040139', 883789]
['contig-0012723', 883554]
['contig-0012879', 880868]
['contig-0121101', 879591]
['contig-0056526', 878015]
['contig-0023339', 874522]
['contig-0106969', 874330]
['contig-0040519', 872189]
['contig-0018705', 868212]
['contig-0049521', 867528]
['contig-0122689', 864705]
['contig-0127504', 863228]
['contig-0067019', 861531]
['contig-0082547', 860529]
['contig-0096639', 857208]
['contig-0005540', 855132]
['contig-0037492', 854632]
['contig-0041573', 854383]
['contig-0022947', 854069]
['contig-0067163', 851131]
['contig-0018454', 851085]
['contig-0059009', 848982]
['contig-0087208', 848496]
['contig-0031755', 844826]
['contig-0103727', 844628]
['contig-0077227', 844626]
['contig-0060412', 843247]
['contig-0016558', 842142]
['contig-0121818', 841320]
['contig-0055979', 840923]
['contig-0042475', 840621]
['contig-0010969', 839638]
['contig-0119789', 838300]
['contig-0041944', 838212]
['contig-0048957', 836453]
['contig-0015700', 835964]
['contig-0010281', 835859]
['contig-0076074', 834742]
['contig-0034764', 834699]
['contig-0029347', 834062]
['contig-0090658', 833897]
['contig-0083989', 833658]
['contig-0037029', 833001]
['contig-0044197', 832586]
['contig-0043904', 831938]
['contig-0107843', 831689]
['contig-0034638', 831002]
['contig-0069712', 829897]
['contig-0044131', 829065]
['contig-0068034', 828225]
['contig-0047833', 826486]
['contig-0012691', 825293]
['contig-0089109', 825036]
['contig-0081374', 824386]
['contig-0067178', 823905]
['contig-0070830', 823817]
['contig-0013967', 822100]
['contig-0062021', 821301]
['contig-0043072', 821013]
['contig-0103132', 820947]
['contig-0033109', 820479]
['contig-0047529', 820237]
['contig-0070098', 820054]
['contig-0008420', 819532]
['contig-0063436', 817933]
['contig-0009954', 817888]
['contig-0077217', 817365]
['contig-0041883', 817074]
['contig-0101177', 816385]
['contig-0023703', 815926]
['contig-0042720', 815373]
['contig-0114592', 813858]
['contig-0053493', 813113]
['contig-0098116', 811821]
['contig-0101572', 811415]
['contig-0052638', 811316]
['contig-0116675', 809243]
['contig-0033499', 809004]
['contig-0010093', 808671]
['contig-0088945', 805782]
['contig-0069447', 805187]
['contig-0021962', 803810]
['contig-0028832', 803471]
['contig-0033600', 802166]
['contig-0058892', 802062]
['contig-0098401', 801958]
['contig-0110960', 799548]
['contig-0053463', 798540]
['contig-0029579', 798536]
['contig-0000810', 798387]
['contig-0039371', 798285]
['contig-0036716', 798171]
['contig-0084891', 797886]
['contig-0123853', 796234]
['contig-0000089', 796177]
['contig-0061010', 795712]
['contig-0018707', 792186]
['contig-0125470', 791732]
['contig-0066634', 791125]
['contig-0041053', 788374]
['contig-0027416', 787848]
['contig-0074268', 784658]
['contig-0003589', 784605]
['contig-0067808', 783997]
['contig-0053895', 783323]
['contig-0091680', 783003]
['contig-0086186', 781348]
['contig-0124787', 779928]
['contig-0042476', 779837]
['contig-0067069', 779723]
['contig-0045828', 779178]
['contig-0100751', 776166]
['contig-0057172', 775982]
['contig-0017314', 774402]
['contig-0118586', 773873]
['contig-0098780', 772684]
['contig-0093340', 772644]
['contig-0113491', 772166]
['contig-0048263', 770581]
['contig-0022438', 769862]
['contig-0089100', 768494]
['contig-0023875', 767894]
['contig-0095020', 767447]
['contig-0098744', 766504]
['contig-0004649', 765724]
['contig-0116762', 765618]
['contig-0098228', 763950]
['contig-0098575', 760971]
['contig-0019157', 760600]
['contig-0089992', 760390]
['contig-0116076', 759878]
['contig-0064042', 758854]
['contig-0079909', 758557]
['contig-0052453', 757134]
['contig-0036061', 755445]
['contig-0080175', 755154]
['contig-0011305', 755104]
['contig-0100878', 754487]
['contig-0085084', 754219]
['contig-0006609', 754196]
['contig-0103998', 754065]
['contig-0096093', 751992]
['contig-0087159', 751842]
['contig-0089914', 750260]
['contig-0066199', 749097]
['contig-0059878', 747999]
['contig-0041890', 747950]
['contig-0039405', 747711]
['contig-0086956', 746564]
['contig-0036801', 746366]
['contig-0122741', 746244]
['contig-0108545', 746112]
['contig-0004577', 746110]
['contig-0051302', 743779]
['contig-0096606', 743602]
['contig-0092194', 743518]
