['contig_12507', 1080899]
['contig_12925', 855429]
['contig_39657', 737202]
['contig_32729', 732196]
['contig_45485', 717322]
['contig_45482', 705941]
['contig_8739', 700271]
['contig_39499', 686546]
['contig_20542', 676214]
['contig_20532', 675807]
['contig_2285', 675793]
['contig_6639', 667907]
['contig_12020', 667120]
['contig_18196', 645350]
['contig_5621', 631336]
['contig_4681', 627136]
['contig_7300', 627132]
['contig_34170', 615429]
['contig_23098', 614243]
['contig_23344', 607107]
['contig_17188', 583624]
['contig_23842', 572585]
['contig_10902', 570117]
['contig_61273', 569228]
['contig_23632', 567417]
['contig_31449', 553139]
['contig_25771', 551768]
['contig_15174', 548038]
['contig_12095', 540311]
['contig_19166', 538532]
['contig_13716', 528205]
['contig_55228', 526644]
['contig_35847', 524556]
['contig_32547', 519987]
['contig_39282', 515922]
['contig_15091', 514258]
['contig_36744', 510954]
['contig_45977', 506608]
['contig_15561', 503109]
['contig_15382', 501343]
['contig_50274', 500490]
['contig_4319', 496078]
['contig_27147', 495364]
['contig_59707', 494002]
['contig_40949', 493909]
['contig_30614', 492236]
['contig_8943', 491544]
['contig_10192', 490208]
['contig_38827', 489875]
['contig_3872', 489817]
['contig_34312', 487958]
['contig_8503', 486495]
['contig_38517', 485934]
['contig_62495', 485040]
['contig_25934', 479770]
['contig_23227', 476275]
['contig_15303', 475189]
['contig_14040', 472341]
['contig_34427', 471946]
['contig_32515', 469833]
['contig_25179', 467084]
['contig_20455', 462224]
['contig_27555', 461781]
['contig_29300', 461673]
['contig_35859', 461550]
['contig_19728', 460334]
['contig_3255', 455311]
['contig_45516', 454040]
['contig_33306', 453954]
['contig_65888', 452632]
['contig_37445', 452085]
['contig_26275', 451783]
['contig_9147', 451287]
['contig_44926', 448045]
['contig_34877', 447112]
['contig_17413', 447091]
['contig_4395', 446314]
['contig_10580', 444650]
['contig_41621', 444584]
['contig_26434', 443690]
['contig_18947', 440244]
['contig_24969', 439241]
['contig_3282', 437693]
['contig_16473', 437670]
['contig_23479', 436482]
['contig_55476', 436183]
['contig_3868', 435759]
['contig_16358', 433401]
['contig_40021', 431149]
['contig_20048', 431054]
['contig_83043', 429455]
['contig_52032', 425294]
['contig_9567', 425154]
['contig_46490', 424960]
['contig_18794', 424104]
['contig_9142', 422731]
['contig_66483', 421091]
['contig_9668', 415483]
['contig_21354', 414565]
['contig_2174', 414508]
['contig_13254', 414298]
['contig_69747', 413604]
['contig_16663', 411915]
['contig_43751', 411268]
['contig_19447', 411126]
['contig_76253', 410549]
['contig_43140', 410239]
['contig_17527', 409921]
['contig_51101', 408863]
['contig_7933', 406857]
['contig_7745', 405977]
['contig_32839', 405662]
['contig_9028', 405299]
['contig_33356', 405241]
['contig_32501', 404735]
['contig_6475', 404072]
['contig_84453', 403601]
['contig_62131', 403598]
['contig_18786', 403364]
['contig_25789', 402907]
['contig_970', 402387]
['contig_62605', 401529]
['contig_10135', 397766]
['contig_31695', 397424]
['contig_32771', 396046]
['contig_2355', 395402]
['contig_31384', 395174]
['contig_1957', 394244]
['contig_52404', 392233]
['contig_13571', 392221]
['contig_20821', 391248]
['contig_26635', 389775]
['contig_22924', 389466]
['contig_66625', 388988]
['contig_65390', 388844]
['contig_11331', 388671]
['contig_27813', 388644]
['contig_60490', 388442]
['contig_12451', 387878]
['contig_48037', 387628]
['contig_27580', 386967]
['contig_11213', 386535]
['contig_4024', 385957]
['contig_17641', 385637]
['contig_2659', 385112]
['contig_9772', 385022]
['contig_20026', 384909]
['contig_54344', 384430]
['contig_9574', 384055]
['contig_74468', 383117]
['contig_19085', 382991]
['contig_49431', 382443]
['contig_18815', 382428]
['contig_6462', 382107]
['contig_78268', 381721]
['contig_57081', 381317]
['contig_32566', 380619]
['contig_6940', 379100]
['contig_70216', 378605]
['contig_9182', 376891]
['contig_44535', 376767]
['contig_34944', 375655]
['contig_46566', 375463]
['contig_16102', 375363]
['contig_30148', 375112]
['contig_26328', 374520]
['contig_12297', 374281]
['contig_58559', 374074]
['contig_53615', 373083]
['contig_67041', 372752]
['contig_74380', 371775]
['contig_3781', 371498]
['contig_527', 371346]
['contig_18363', 370865]
['contig_27179', 370160]
['contig_58593', 369589]
['contig_38656', 369548]
['contig_16420', 368437]
['contig_12269', 368023]
['contig_76882', 367436]
['contig_1179', 367374]
['contig_11288', 365945]
['contig_36476', 365089]
['contig_10776', 364981]
['contig_11111', 364846]
['contig_5675', 364745]
