['HiC_scaffold_7', 132869780]
['HiC_scaffold_27', 115854569]
['HiC_scaffold_10', 115485529]
['HiC_scaffold_25', 105531055]
['HiC_scaffold_17', 98206645]
['HiC_scaffold_23', 97267739]
['HiC_scaffold_3', 84897624]
['HiC_scaffold_12', 82069025]
['HiC_scaffold_9', 74863711]
['HiC_scaffold_8', 72746833]
['HiC_scaffold_6', 70478988]
['HiC_scaffold_24', 59338500]
['HiC_scaffold_19', 44428346]
['HiC_scaffold_14', 30242123]
['HiC_scaffold_18', 28023427]
['HiC_scaffold_13', 27694155]
['HiC_scaffold_20', 25813846]
['HiC_scaffold_15', 22415273]
['HiC_scaffold_2', 13764287]
['HiC_scaffold_16', 12761740]
['HiC_scaffold_11', 12511303]
['HiC_scaffold_21', 6756835]
['HiC_scaffold_1', 3185190]
['HiC_scaffold_28', 1565500]
['HiC_scaffold_26', 985154]
['HiC_scaffold_177', 862911]
['HiC_scaffold_38', 656093]
['HiC_scaffold_40', 623000]
['HiC_scaffold_81', 594000]
['HiC_scaffold_44', 590500]
['HiC_scaffold_60', 507000]
['HiC_scaffold_127', 504940]
['HiC_scaffold_191', 438000]
['HiC_scaffold_161', 437500]
['HiC_scaffold_130', 431000]
['HiC_scaffold_258', 427156]
['HiC_scaffold_89', 411971]
['HiC_scaffold_51', 398488]
['HiC_scaffold_117', 395500]
['HiC_scaffold_80', 389500]
['HiC_scaffold_115', 374401]
['HiC_scaffold_151', 359500]
['HiC_scaffold_129', 359478]
['HiC_scaffold_30', 352000]
['HiC_scaffold_57', 338500]
['HiC_scaffold_195', 330500]
['HiC_scaffold_5', 325384]
['HiC_scaffold_96', 322534]
['HiC_scaffold_124', 322453]
['HiC_scaffold_4', 317887]
['HiC_scaffold_203', 314500]
['HiC_scaffold_45', 312000]
['HiC_scaffold_139', 305743]
['HiC_scaffold_75', 298500]
['HiC_scaffold_55', 298263]
['HiC_scaffold_58', 296210]
['HiC_scaffold_78', 294500]
['HiC_scaffold_128', 288500]
['HiC_scaffold_156', 285500]
['HiC_scaffold_262', 273958]
['HiC_scaffold_259', 273494]
['HiC_scaffold_260', 271401]
['HiC_scaffold_263', 266214]
['HiC_scaffold_93', 261088]
['HiC_scaffold_46', 252908]
['HiC_scaffold_261', 252274]
['HiC_scaffold_160', 247500]
['HiC_scaffold_125', 241000]
['HiC_scaffold_265', 239200]
['HiC_scaffold_42', 233000]
['HiC_scaffold_123', 232773]
['HiC_scaffold_184', 232500]
['HiC_scaffold_99', 229500]
['HiC_scaffold_29', 224943]
['HiC_scaffold_141', 223000]
['HiC_scaffold_50', 220362]
['HiC_scaffold_83', 214417]
['HiC_scaffold_110', 214000]
['HiC_scaffold_158', 213500]
['HiC_scaffold_134', 205500]
['HiC_scaffold_266', 202718]
['HiC_scaffold_86', 202500]
['HiC_scaffold_144', 199406]
['HiC_scaffold_126', 198500]
['HiC_scaffold_197', 198052]
['HiC_scaffold_32', 196500]
['HiC_scaffold_215', 196500]
['HiC_scaffold_33', 190500]
['HiC_scaffold_165', 186500]
['HiC_scaffold_212', 186500]
['HiC_scaffold_268', 185627]
['HiC_scaffold_132', 183750]
['HiC_scaffold_146', 183000]
['HiC_scaffold_122', 181500]
['HiC_scaffold_22', 177261]
['HiC_scaffold_131', 165500]
['HiC_scaffold_199', 163000]
